56 66
1 12 -327
12 39 -87
39 25 181
25 3 412
3 15 -757
15 55 949
55 51 -774
51 4 -762
4 11 -722
11 12 114
12 15 -23
15 54 536
54 56 -101
1 6 180
6 49 -528
49 7 465
7 6 -249
6 33 -544
33 54 719
54 11 45
11 27 -745
27 43 -276
43 20 -754
20 26 -477
26 44 -105
44 28 -302
28 27 864
27 40 -267
40 52 -419
52 30 -219
30 52 -769
52 21 771
21 48 -516
48 45 475
45 27 782
27 13 -442
13 1 -931
1 43 -278
43 12 -188
12 45 567
45 41 688
41 44 -128
44 41 536
41 14 -674
14 37 -560
37 17 365
17 18 603
18 33 -257
33 42 760
42 28 -775
28 17 461
17 44 812
44 13 -575
13 19 -101
19 9 -292
9 30 -41
30 42 317
42 6 -355
6 52 -718
52 6 987
6 36 -846
36 15 198
15 56 123
53 12 300
23 34 -96
51 39 376
